I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> localhost:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> ps-2:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2501
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> ps-2:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> localhost:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2500
I tensorflow/core/distributed_runtime/master_session.cc:992] Start master session ff8bfb77c9d1ef73 with config: 
device_filters: "/job:ps"
device_filters: "/job:worker/task:0"
allow_soft_placement: true

job name = worker
task index = 0
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.

5.298326: Worker 0: step 16140 (global step: 16139 of 60000) loss = 0.72 examples_per_sec = 241.59 

5.227909: Worker 0: step 16150 (global step: 16149 of 60000) loss = 1.00 examples_per_sec = 244.84 

5.251409: Worker 0: step 16160 (global step: 16159 of 60000) loss = 0.74 examples_per_sec = 243.74 

5.189369: Worker 0: step 16170 (global step: 16169 of 60000) loss = 0.86 examples_per_sec = 246.66 

5.144734: Worker 0: step 16180 (global step: 16179 of 60000) loss = 1.16 examples_per_sec = 248.80 

5.128579: Worker 0: step 16190 (global step: 16189 of 60000) loss = 0.86 examples_per_sec = 249.58 

5.282991: Worker 0: step 16200 (global step: 16199 of 60000) loss = 0.79 examples_per_sec = 242.29 

5.298011: Worker 0: step 16210 (global step: 16209 of 60000) loss = 0.76 examples_per_sec = 241.60 

5.025361: Worker 0: step 16220 (global step: 16219 of 60000) loss = 0.85 examples_per_sec = 254.71 

5.033332: Worker 0: step 16230 (global step: 16229 of 60000) loss = 0.99 examples_per_sec = 254.30 

4.872522: Worker 0: step 16240 (global step: 16239 of 60000) loss = 0.89 examples_per_sec = 262.70 

5.016062: Worker 0: step 16250 (global step: 16249 of 60000) loss = 0.72 examples_per_sec = 255.18 

5.024370: Worker 0: step 16260 (global step: 16259 of 60000) loss = 0.79 examples_per_sec = 254.76 

5.115822: Worker 0: step 16270 (global step: 16269 of 60000) loss = 0.76 examples_per_sec = 250.20 

5.054623: Worker 0: step 16280 (global step: 16279 of 60000) loss = 0.82 examples_per_sec = 253.23 

5.056781: Worker 0: step 16290 (global step: 16289 of 60000) loss = 0.76 examples_per_sec = 253.13 

5.017645: Worker 0: step 16300 (global step: 16299 of 60000) loss = 0.93 examples_per_sec = 255.10 

5.064546: Worker 0: step 16310 (global step: 16309 of 60000) loss = 0.77 examples_per_sec = 252.74 

5.039183: Worker 0: step 16320 (global step: 16319 of 60000) loss = 0.81 examples_per_sec = 254.01 

5.201438: Worker 0: step 16330 (global step: 16329 of 60000) loss = 0.75 examples_per_sec = 246.09 

5.010823: Worker 0: step 16340 (global step: 16339 of 60000) loss = 0.69 examples_per_sec = 255.45 

5.056926: Worker 0: step 16350 (global step: 16349 of 60000) loss = 0.70 examples_per_sec = 253.12 

4.955250: Worker 0: step 16360 (global step: 16359 of 60000) loss = 0.73 examples_per_sec = 258.31 

5.003511: Worker 0: step 16370 (global step: 16369 of 60000) loss = 0.88 examples_per_sec = 255.82 

5.234316: Worker 0: step 16380 (global step: 16379 of 60000) loss = 0.75 examples_per_sec = 244.54 

5.078238: Worker 0: step 16390 (global step: 16389 of 60000) loss = 0.76 examples_per_sec = 252.06 

5.055600: Worker 0: step 16400 (global step: 16399 of 60000) loss = 0.75 examples_per_sec = 253.18 

5.035748: Worker 0: step 16410 (global step: 16409 of 60000) loss = 0.79 examples_per_sec = 254.18 

4.961117: Worker 0: step 16420 (global step: 16419 of 60000) loss = 0.91 examples_per_sec = 258.01 

4.985495: Worker 0: step 16430 (global step: 16429 of 60000) loss = 0.95 examples_per_sec = 256.74 

5.284225: Worker 0: step 16440 (global step: 16439 of 60000) loss = 0.77 examples_per_sec = 242.23 

5.085658: Worker 0: step 16450 (global step: 16449 of 60000) loss = 0.77 examples_per_sec = 251.69 

5.067114: Worker 0: step 16460 (global step: 16459 of 60000) loss = 0.74 examples_per_sec = 252.61 

5.063674: Worker 0: step 16470 (global step: 16469 of 60000) loss = 0.88 examples_per_sec = 252.78 

5.092696: Worker 0: step 16480 (global step: 16479 of 60000) loss = 1.03 examples_per_sec = 251.34 

5.008686: Worker 0: step 16490 (global step: 16489 of 60000) loss = 0.86 examples_per_sec = 255.56 

5.210638: Worker 0: step 16500 (global step: 16499 of 60000) loss = 0.95 examples_per_sec = 245.65 

5.243153: Worker 0: step 16510 (global step: 16509 of 60000) loss = 0.83 examples_per_sec = 244.13 

5.182697: Worker 0: step 16520 (global step: 16519 of 60000) loss = 0.90 examples_per_sec = 246.98 

5.180383: Worker 0: step 16530 (global step: 16529 of 60000) loss = 0.93 examples_per_sec = 247.09 

5.064808: Worker 0: step 16540 (global step: 16539 of 60000) loss = 0.76 examples_per_sec = 252.72 

5.082617: Worker 0: step 16550 (global step: 16549 of 60000) loss = 0.80 examples_per_sec = 251.84 

5.085703: Worker 0: step 16560 (global step: 16559 of 60000) loss = 1.05 examples_per_sec = 251.69 

5.129224: Worker 0: step 16570 (global step: 16569 of 60000) loss = 0.95 examples_per_sec = 249.55 

5.035572: Worker 0: step 16580 (global step: 16579 of 60000) loss = 0.78 examples_per_sec = 254.19 

5.049491: Worker 0: step 16590 (global step: 16589 of 60000) loss = 0.86 examples_per_sec = 253.49 

5.266835: Worker 0: step 16600 (global step: 16599 of 60000) loss = 0.81 examples_per_sec = 243.03 

5.167930: Worker 0: step 16610 (global step: 16609 of 60000) loss = 0.96 examples_per_sec = 247.68 

5.229601: Worker 0: step 16620 (global step: 16619 of 60000) loss = 0.76 examples_per_sec = 244.76 

5.385686: Worker 0: step 16630 (global step: 16629 of 60000) loss = 0.88 examples_per_sec = 237.67 

5.046776: Worker 0: step 16640 (global step: 16639 of 60000) loss = 0.86 examples_per_sec = 253.63 

5.176845: Worker 0: step 16650 (global step: 16649 of 60000) loss = 0.77 examples_per_sec = 247.25 

4.991193: Worker 0: step 16660 (global step: 16659 of 60000) loss = 0.68 examples_per_sec = 256.45 

5.387459: Worker 0: step 16670 (global step: 16669 of 60000) loss = 0.77 examples_per_sec = 237.59 

5.261070: Worker 0: step 16680 (global step: 16679 of 60000) loss = 0.82 examples_per_sec = 243.30 

5.003654: Worker 0: step 16690 (global step: 16689 of 60000) loss = 0.86 examples_per_sec = 255.81 

5.111140: Worker 0: step 16700 (global step: 16699 of 60000) loss = 0.82 examples_per_sec = 250.43 

5.182532: Worker 0: step 16710 (global step: 16709 of 60000) loss = 0.93 examples_per_sec = 246.98 

5.182954: Worker 0: step 16720 (global step: 16719 of 60000) loss = 0.84 examples_per_sec = 246.96 

5.072182: Worker 0: step 16730 (global step: 16729 of 60000) loss = 0.82 examples_per_sec = 252.36 

5.249840: Worker 0: step 16740 (global step: 16739 of 60000) loss = 0.86 examples_per_sec = 243.82 

5.127016: Worker 0: step 16750 (global step: 16749 of 60000) loss = 0.76 examples_per_sec = 249.66 

5.085328: Worker 0: step 16760 (global step: 16759 of 60000) loss = 0.78 examples_per_sec = 251.70 

5.062490: Worker 0: step 16770 (global step: 16769 of 60000) loss = 0.82 examples_per_sec = 252.84 

5.013874: Worker 0: step 16780 (global step: 16779 of 60000) loss = 0.83 examples_per_sec = 255.29 

5.084535: Worker 0: step 16790 (global step: 16789 of 60000) loss = 0.83 examples_per_sec = 251.74 

5.341873: Worker 0: step 16800 (global step: 16799 of 60000) loss = 0.90 examples_per_sec = 239.62 

5.034794: Worker 0: step 16810 (global step: 16809 of 60000) loss = 0.88 examples_per_sec = 254.23 

5.136772: Worker 0: step 16820 (global step: 16819 of 60000) loss = 0.90 examples_per_sec = 249.18 

5.144597: Worker 0: step 16830 (global step: 16829 of 60000) loss = 0.79 examples_per_sec = 248.80 

5.202454: Worker 0: step 16840 (global step: 16839 of 60000) loss = 0.81 examples_per_sec = 246.04 

5.322107: Worker 0: step 16850 (global step: 16849 of 60000) loss = 0.92 examples_per_sec = 240.51 

5.178512: Worker 0: step 16860 (global step: 16859 of 60000) loss = 0.84 examples_per_sec = 247.18 

5.177281: Worker 0: step 16870 (global step: 16869 of 60000) loss = 0.90 examples_per_sec = 247.23 

5.118926: Worker 0: step 16880 (global step: 16879 of 60000) loss = 0.85 examples_per_sec = 250.05 

5.067668: Worker 0: step 16890 (global step: 16889 of 60000) loss = 0.79 examples_per_sec = 252.58 

5.238228: Worker 0: step 16900 (global step: 16899 of 60000) loss = 0.75 examples_per_sec = 244.36 

5.176442: Worker 0: step 16910 (global step: 16909 of 60000) loss = 0.96 examples_per_sec = 247.27 

5.259553: Worker 0: step 16920 (global step: 16919 of 60000) loss = 0.93 examples_per_sec = 243.37 

4.968166: Worker 0: step 16930 (global step: 16929 of 60000) loss = 0.82 examples_per_sec = 257.64 

4.945786: Worker 0: step 16940 (global step: 16939 of 60000) loss = 0.82 examples_per_sec = 258.81 

5.139536: Worker 0: step 16950 (global step: 16949 of 60000) loss = 0.95 examples_per_sec = 249.05 

5.085820: Worker 0: step 16960 (global step: 16959 of 60000) loss = 0.84 examples_per_sec = 251.68 

5.155625: Worker 0: step 16970 (global step: 16969 of 60000) loss = 1.04 examples_per_sec = 248.27 

5.281629: Worker 0: step 16980 (global step: 16979 of 60000) loss = 1.04 examples_per_sec = 242.35 

5.052056: Worker 0: step 16990 (global step: 16989 of 60000) loss = 0.79 examples_per_sec = 253.36 

5.174199: Worker 0: step 17000 (global step: 16999 of 60000) loss = 0.79 examples_per_sec = 247.38 

Taking a Checkpoint @ Global Step 17000
5.809085: Worker 0: step 17010 (global step: 17009 of 60000) loss = 0.79 examples_per_sec = 220.34 

5.187963: Worker 0: step 17020 (global step: 17019 of 60000) loss = 0.86 examples_per_sec = 246.72 

5.267083: Worker 0: step 17030 (global step: 17029 of 60000) loss = 0.74 examples_per_sec = 243.02 

5.078941: Worker 0: step 17040 (global step: 17039 of 60000) loss = 0.62 examples_per_sec = 252.02 

4.956707: Worker 0: step 17050 (global step: 17049 of 60000) loss = 0.77 examples_per_sec = 258.24 

5.021583: Worker 0: step 17060 (global step: 17059 of 60000) loss = 0.87 examples_per_sec = 254.90 

4.911976: Worker 0: step 17070 (global step: 17069 of 60000) loss = 0.85 examples_per_sec = 260.59 

5.081430: Worker 0: step 17080 (global step: 17079 of 60000) loss = 0.80 examples_per_sec = 251.90 

5.193871: Worker 0: step 17090 (global step: 17089 of 60000) loss = 0.67 examples_per_sec = 246.44 

5.020300: Worker 0: step 17100 (global step: 17099 of 60000) loss = 0.94 examples_per_sec = 254.96 

4.960880: Worker 0: step 17110 (global step: 17109 of 60000) loss = 0.81 examples_per_sec = 258.02 

5.016065: Worker 0: step 17120 (global step: 17119 of 60000) loss = 0.68 examples_per_sec = 255.18 

5.002832: Worker 0: step 17130 (global step: 17129 of 60000) loss = 0.89 examples_per_sec = 255.86 

5.269350: Worker 0: step 17140 (global step: 17139 of 60000) loss = 0.94 examples_per_sec = 242.91 

5.157353: Worker 0: step 17150 (global step: 17149 of 60000) loss = 0.93 examples_per_sec = 248.19 

5.033402: Worker 0: step 17160 (global step: 17159 of 60000) loss = 0.70 examples_per_sec = 254.30 

5.056656: Worker 0: step 17170 (global step: 17169 of 60000) loss = 0.71 examples_per_sec = 253.13 

5.053998: Worker 0: step 17180 (global step: 17179 of 60000) loss = 0.85 examples_per_sec = 253.26 

5.035401: Worker 0: step 17190 (global step: 17189 of 60000) loss = 0.69 examples_per_sec = 254.20 

5.049700: Worker 0: step 17200 (global step: 17199 of 60000) loss = 1.09 examples_per_sec = 253.48 

5.171603: Worker 0: step 17210 (global step: 17209 of 60000) loss = 0.97 examples_per_sec = 247.51 

5.179548: Worker 0: step 17220 (global step: 17219 of 60000) loss = 0.88 examples_per_sec = 247.13 

5.125238: Worker 0: step 17230 (global step: 17229 of 60000) loss = 0.99 examples_per_sec = 249.74 

4.969382: Worker 0: step 17240 (global step: 17239 of 60000) loss = 0.85 examples_per_sec = 257.58 

5.102625: Worker 0: step 17250 (global step: 17249 of 60000) loss = 0.80 examples_per_sec = 250.85 

5.186176: Worker 0: step 17260 (global step: 17259 of 60000) loss = 0.87 examples_per_sec = 246.81 

5.149161: Worker 0: step 17270 (global step: 17269 of 60000) loss = 0.79 examples_per_sec = 248.58 

5.105210: Worker 0: step 17280 (global step: 17279 of 60000) loss = 0.86 examples_per_sec = 250.72 

5.299504: Worker 0: step 17290 (global step: 17289 of 60000) loss = 0.98 examples_per_sec = 241.53 

5.243149: Worker 0: step 17300 (global step: 17299 of 60000) loss = 0.79 examples_per_sec = 244.13 

5.139401: Worker 0: step 17310 (global step: 17309 of 60000) loss = 0.70 examples_per_sec = 249.06 

5.110020: Worker 0: step 17320 (global step: 17319 of 60000) loss = 0.86 examples_per_sec = 250.49 

5.245976: Worker 0: step 17330 (global step: 17329 of 60000) loss = 0.92 examples_per_sec = 244.00 

5.344776: Worker 0: step 17340 (global step: 17339 of 60000) loss = 0.87 examples_per_sec = 239.49 

5.187641: Worker 0: step 17350 (global step: 17349 of 60000) loss = 0.81 examples_per_sec = 246.74 

5.114345: Worker 0: step 17360 (global step: 17359 of 60000) loss = 0.70 examples_per_sec = 250.28 

5.192900: Worker 0: step 17370 (global step: 17369 of 60000) loss = 0.83 examples_per_sec = 246.49 

5.260053: Worker 0: step 17380 (global step: 17379 of 60000) loss = 0.82 examples_per_sec = 243.34 

4.941637: Worker 0: step 17390 (global step: 17389 of 60000) loss = 0.81 examples_per_sec = 259.02 

4.950211: Worker 0: step 17400 (global step: 17399 of 60000) loss = 0.88 examples_per_sec = 258.57 

4.958052: Worker 0: step 17410 (global step: 17409 of 60000) loss = 0.86 examples_per_sec = 258.17 

4.967440: Worker 0: step 17420 (global step: 17419 of 60000) loss = 0.72 examples_per_sec = 257.68 

4.937798: Worker 0: step 17430 (global step: 17429 of 60000) loss = 0.73 examples_per_sec = 259.22 

5.225841: Worker 0: step 17440 (global step: 17439 of 60000) loss = 0.75 examples_per_sec = 244.94 

5.183018: Worker 0: step 17450 (global step: 17449 of 60000) loss = 0.81 examples_per_sec = 246.96 

4.893884: Worker 0: step 17460 (global step: 17459 of 60000) loss = 0.76 examples_per_sec = 261.55 

4.970594: Worker 0: step 17470 (global step: 17469 of 60000) loss = 0.75 examples_per_sec = 257.51 

5.011630: Worker 0: step 17480 (global step: 17479 of 60000) loss = 0.90 examples_per_sec = 255.41 

5.013143: Worker 0: step 17490 (global step: 17489 of 60000) loss = 0.76 examples_per_sec = 255.33 

5.194032: Worker 0: step 17500 (global step: 17499 of 60000) loss = 0.67 examples_per_sec = 246.44 

5.120225: Worker 0: step 17510 (global step: 17509 of 60000) loss = 0.79 examples_per_sec = 249.99 

5.112245: Worker 0: step 17520 (global step: 17519 of 60000) loss = 0.75 examples_per_sec = 250.38 

4.899959: Worker 0: step 17530 (global step: 17529 of 60000) loss = 0.85 examples_per_sec = 261.23 

5.063137: Worker 0: step 17540 (global step: 17539 of 60000) loss = 0.86 examples_per_sec = 252.81 

5.222084: Worker 0: step 17550 (global step: 17549 of 60000) loss = 0.82 examples_per_sec = 245.11 

5.177371: Worker 0: step 17560 (global step: 17559 of 60000) loss = 0.76 examples_per_sec = 247.23 

5.197149: Worker 0: step 17570 (global step: 17569 of 60000) loss = 0.87 examples_per_sec = 246.29 

5.284026: Worker 0: step 17580 (global step: 17579 of 60000) loss = 0.76 examples_per_sec = 242.24 

4.955134: Worker 0: step 17590 (global step: 17589 of 60000) loss = 0.61 examples_per_sec = 258.32 

5.103146: Worker 0: step 17600 (global step: 17599 of 60000) loss = 0.85 examples_per_sec = 250.83 

5.325845: Worker 0: step 17610 (global step: 17609 of 60000) loss = 0.87 examples_per_sec = 240.34 

5.074209: Worker 0: step 17620 (global step: 17619 of 60000) loss = 0.78 examples_per_sec = 252.26 

5.042749: Worker 0: step 17630 (global step: 17629 of 60000) loss = 0.83 examples_per_sec = 253.83 

5.040643: Worker 0: step 17640 (global step: 17639 of 60000) loss = 0.90 examples_per_sec = 253.94 

5.193522: Worker 0: step 17650 (global step: 17649 of 60000) loss = 0.81 examples_per_sec = 246.46 

4.982095: Worker 0: step 17660 (global step: 17659 of 60000) loss = 1.01 examples_per_sec = 256.92 

5.243319: Worker 0: step 17670 (global step: 17669 of 60000) loss = 0.95 examples_per_sec = 244.12 

5.193310: Worker 0: step 17680 (global step: 17679 of 60000) loss = 0.74 examples_per_sec = 246.47 

5.096622: Worker 0: step 17690 (global step: 17689 of 60000) loss = 0.74 examples_per_sec = 251.15 

5.167045: Worker 0: step 17700 (global step: 17699 of 60000) loss = 0.77 examples_per_sec = 247.72 

5.294790: Worker 0: step 17710 (global step: 17709 of 60000) loss = 0.61 examples_per_sec = 241.75 

5.043475: Worker 0: step 17720 (global step: 17719 of 60000) loss = 0.77 examples_per_sec = 253.79 

5.240082: Worker 0: step 17730 (global step: 17729 of 60000) loss = 0.83 examples_per_sec = 244.27 

5.194065: Worker 0: step 17740 (global step: 17739 of 60000) loss = 0.77 examples_per_sec = 246.44 

5.228273: Worker 0: step 17750 (global step: 17749 of 60000) loss = 0.75 examples_per_sec = 244.82 

5.069196: Worker 0: step 17760 (global step: 17759 of 60000) loss = 0.89 examples_per_sec = 252.51 

5.195373: Worker 0: step 17770 (global step: 17769 of 60000) loss = 0.73 examples_per_sec = 246.37 

5.002324: Worker 0: step 17780 (global step: 17779 of 60000) loss = 0.92 examples_per_sec = 255.88 

5.282698: Worker 0: step 17790 (global step: 17789 of 60000) loss = 0.83 examples_per_sec = 242.30 

5.173745: Worker 0: step 17800 (global step: 17799 of 60000) loss = 0.85 examples_per_sec = 247.40 

4.978262: Worker 0: step 17810 (global step: 17809 of 60000) loss = 0.94 examples_per_sec = 257.12 

5.053013: Worker 0: step 17820 (global step: 17819 of 60000) loss = 0.90 examples_per_sec = 253.31 

5.038374: Worker 0: step 17830 (global step: 17829 of 60000) loss = 0.97 examples_per_sec = 254.05 

5.338876: Worker 0: step 17840 (global step: 17839 of 60000) loss = 0.78 examples_per_sec = 239.75 

5.253465: Worker 0: step 17850 (global step: 17849 of 60000) loss = 0.80 examples_per_sec = 243.65 

5.097817: Worker 0: step 17860 (global step: 17859 of 60000) loss = 0.68 examples_per_sec = 251.09 

5.089137: Worker 0: step 17870 (global step: 17869 of 60000) loss = 0.84 examples_per_sec = 251.52 

5.091657: Worker 0: step 17880 (global step: 17879 of 60000) loss = 0.94 examples_per_sec = 251.39 

4.903120: Worker 0: step 17890 (global step: 17889 of 60000) loss = 0.82 examples_per_sec = 261.06 

5.103246: Worker 0: step 17900 (global step: 17899 of 60000) loss = 0.87 examples_per_sec = 250.82 

5.161279: Worker 0: step 17910 (global step: 17909 of 60000) loss = 0.76 examples_per_sec = 248.00 

5.298552: Worker 0: step 17920 (global step: 17919 of 60000) loss = 0.73 examples_per_sec = 241.58 

5.176424: Worker 0: step 17930 (global step: 17929 of 60000) loss = 0.77 examples_per_sec = 247.27 

4.962046: Worker 0: step 17940 (global step: 17939 of 60000) loss = 0.83 examples_per_sec = 257.96 

5.008992: Worker 0: step 17950 (global step: 17949 of 60000) loss = 1.07 examples_per_sec = 255.54 

5.182357: Worker 0: step 17960 (global step: 17959 of 60000) loss = 0.92 examples_per_sec = 246.99 

5.223135: Worker 0: step 17970 (global step: 17969 of 60000) loss = 0.78 examples_per_sec = 245.06 

5.063353: Worker 0: step 17980 (global step: 17979 of 60000) loss = 0.68 examples_per_sec = 252.80 

5.071682: Worker 0: step 17990 (global step: 17989 of 60000) loss = 0.81 examples_per_sec = 252.38 

5.227732: Worker 0: step 18000 (global step: 17999 of 60000) loss = 0.80 examples_per_sec = 244.85 

Taking a Checkpoint @ Global Step 18000
5.652119: Worker 0: step 18010 (global step: 18009 of 60000) loss = 0.77 examples_per_sec = 226.46 

5.140143: Worker 0: step 18020 (global step: 18019 of 60000) loss = 0.70 examples_per_sec = 249.02 

5.174971: Worker 0: step 18030 (global step: 18029 of 60000) loss = 0.74 examples_per_sec = 247.34 

4.863593: Worker 0: step 18040 (global step: 18039 of 60000) loss = 0.93 examples_per_sec = 263.18 

5.014824: Worker 0: step 18050 (global step: 18049 of 60000) loss = 0.80 examples_per_sec = 255.24 

5.180377: Worker 0: step 18060 (global step: 18059 of 60000) loss = 0.79 examples_per_sec = 247.09 

4.959759: Worker 0: step 18070 (global step: 18069 of 60000) loss = 0.98 examples_per_sec = 258.08 

5.159761: Worker 0: step 18080 (global step: 18079 of 60000) loss = 0.83 examples_per_sec = 248.07 

4.896220: Worker 0: step 18090 (global step: 18089 of 60000) loss = 0.87 examples_per_sec = 261.43 

4.991918: Worker 0: step 18100 (global step: 18099 of 60000) loss = 1.00 examples_per_sec = 256.41 

5.250217: Worker 0: step 18110 (global step: 18109 of 60000) loss = 0.80 examples_per_sec = 243.80 

5.156053: Worker 0: step 18120 (global step: 18119 of 60000) loss = 1.02 examples_per_sec = 248.25 

4.944215: Worker 0: step 18130 (global step: 18129 of 60000) loss = 0.67 examples_per_sec = 258.89 

5.039186: Worker 0: step 18140 (global step: 18139 of 60000) loss = 0.93 examples_per_sec = 254.01 

5.085556: Worker 0: step 18150 (global step: 18149 of 60000) loss = 0.86 examples_per_sec = 251.69 

5.067285: Worker 0: step 18160 (global step: 18159 of 60000) loss = 0.73 examples_per_sec = 252.60 

4.976305: Worker 0: step 18170 (global step: 18169 of 60000) loss = 0.80 examples_per_sec = 257.22 

5.049218: Worker 0: step 18180 (global step: 18179 of 60000) loss = 0.72 examples_per_sec = 253.50 

4.920849: Worker 0: step 18190 (global step: 18189 of 60000) loss = 0.94 examples_per_sec = 260.12 

4.984903: Worker 0: step 18200 (global step: 18199 of 60000) loss = 0.74 examples_per_sec = 256.78 

4.990323: Worker 0: step 18210 (global step: 18209 of 60000) loss = 0.82 examples_per_sec = 256.50 

4.967746: Worker 0: step 18220 (global step: 18219 of 60000) loss = 0.80 examples_per_sec = 257.66 

5.022903: Worker 0: step 18230 (global step: 18229 of 60000) loss = 0.68 examples_per_sec = 254.83 

4.995096: Worker 0: step 18240 (global step: 18239 of 60000) loss = 0.86 examples_per_sec = 256.25 

4.991400: Worker 0: step 18250 (global step: 18249 of 60000) loss = 0.73 examples_per_sec = 256.44 

5.296479: Worker 0: step 18260 (global step: 18259 of 60000) loss = 0.83 examples_per_sec = 241.67 

4.948763: Worker 0: step 18270 (global step: 18269 of 60000) loss = 0.86 examples_per_sec = 258.65 

4.946969: Worker 0: step 18280 (global step: 18279 of 60000) loss = 0.78 examples_per_sec = 258.74 

4.905691: Worker 0: step 18290 (global step: 18289 of 60000) loss = 1.02 examples_per_sec = 260.92 

4.901834: Worker 0: step 18300 (global step: 18299 of 60000) loss = 0.80 examples_per_sec = 261.13 

5.093652: Worker 0: step 18310 (global step: 18309 of 60000) loss = 0.86 examples_per_sec = 251.29 

5.546870: Worker 0: step 18320 (global step: 18319 of 60000) loss = 0.86 examples_per_sec = 230.76 

5.038110: Worker 0: step 18330 (global step: 18329 of 60000) loss = 0.80 examples_per_sec = 254.06 

5.042330: Worker 0: step 18340 (global step: 18339 of 60000) loss = 0.81 examples_per_sec = 253.85 

5.051940: Worker 0: step 18350 (global step: 18349 of 60000) loss = 0.85 examples_per_sec = 253.37 

5.045761: Worker 0: step 18360 (global step: 18359 of 60000) loss = 0.83 examples_per_sec = 253.68 

4.948617: Worker 0: step 18370 (global step: 18369 of 60000) loss = 0.86 examples_per_sec = 258.66 

5.241836: Worker 0: step 18380 (global step: 18379 of 60000) loss = 0.67 examples_per_sec = 244.19 

5.234079: Worker 0: step 18390 (global step: 18389 of 60000) loss = 0.72 examples_per_sec = 244.55 

5.087990: Worker 0: step 18400 (global step: 18399 of 60000) loss = 0.78 examples_per_sec = 251.57 

5.022420: Worker 0: step 18410 (global step: 18409 of 60000) loss = 0.75 examples_per_sec = 254.86 

4.944671: Worker 0: step 18420 (global step: 18419 of 60000) loss = 0.93 examples_per_sec = 258.86 

5.086839: Worker 0: step 18430 (global step: 18429 of 60000) loss = 0.90 examples_per_sec = 251.63 

5.315848: Worker 0: step 18440 (global step: 18439 of 60000) loss = 0.97 examples_per_sec = 240.79 

4.945393: Worker 0: step 18450 (global step: 18449 of 60000) loss = 0.73 examples_per_sec = 258.83 

4.946755: Worker 0: step 18460 (global step: 18459 of 60000) loss = 0.83 examples_per_sec = 258.76 

4.880469: Worker 0: step 18470 (global step: 18469 of 60000) loss = 0.77 examples_per_sec = 262.27 

4.822186: Worker 0: step 18480 (global step: 18479 of 60000) loss = 0.79 examples_per_sec = 265.44 

4.814297: Worker 0: step 18490 (global step: 18489 of 60000) loss = 0.85 examples_per_sec = 265.87 

5.192301: Worker 0: step 18500 (global step: 18499 of 60000) loss = 0.72 examples_per_sec = 246.52 

4.999971: Worker 0: step 18510 (global step: 18509 of 60000) loss = 0.67 examples_per_sec = 256.00 

4.942751: Worker 0: step 18520 (global step: 18519 of 60000) loss = 1.03 examples_per_sec = 258.97 

4.895849: Worker 0: step 18530 (global step: 18529 of 60000) loss = 0.83 examples_per_sec = 261.45 

4.981451: Worker 0: step 18540 (global step: 18539 of 60000) loss = 0.97 examples_per_sec = 256.95 

5.193481: Worker 0: step 18550 (global step: 18549 of 60000) loss = 0.86 examples_per_sec = 246.46 

5.455083: Worker 0: step 18560 (global step: 18559 of 60000) loss = 0.80 examples_per_sec = 234.64 

4.916643: Worker 0: step 18570 (global step: 18569 of 60000) loss = 0.92 examples_per_sec = 260.34 

4.966423: Worker 0: step 18580 (global step: 18579 of 60000) loss = 0.87 examples_per_sec = 257.73 

4.883019: Worker 0: step 18590 (global step: 18589 of 60000) loss = 0.65 examples_per_sec = 262.13 

5.061945: Worker 0: step 18600 (global step: 18599 of 60000) loss = 0.86 examples_per_sec = 252.87 

5.052295: Worker 0: step 18610 (global step: 18609 of 60000) loss = 0.82 examples_per_sec = 253.35 

5.030755: Worker 0: step 18620 (global step: 18619 of 60000) loss = 0.88 examples_per_sec = 254.43 

5.042008: Worker 0: step 18630 (global step: 18629 of 60000) loss = 0.77 examples_per_sec = 253.87 

4.994115: Worker 0: step 18640 (global step: 18639 of 60000) loss = 0.83 examples_per_sec = 256.30 

5.027081: Worker 0: step 18650 (global step: 18649 of 60000) loss = 0.75 examples_per_sec = 254.62 

5.052533: Worker 0: step 18660 (global step: 18659 of 60000) loss = 0.76 examples_per_sec = 253.34 

5.014334: Worker 0: step 18670 (global step: 18669 of 60000) loss = 0.73 examples_per_sec = 255.27 

5.096690: Worker 0: step 18680 (global step: 18679 of 60000) loss = 1.08 examples_per_sec = 251.14 

5.153089: Worker 0: step 18690 (global step: 18689 of 60000) loss = 0.76 examples_per_sec = 248.39 

5.014395: Worker 0: step 18700 (global step: 18699 of 60000) loss = 0.68 examples_per_sec = 255.27 

4.983596: Worker 0: step 18710 (global step: 18709 of 60000) loss = 0.91 examples_per_sec = 256.84 

